system_id,system_public_name,latitude,longitude,dc_capacity_kW,years,number_records,dataset_size_mb,available_sensor_channels,kg_climate,A_PVCZ_T,A_PVCZ_H,A_MOUNT,A_TRACK,A_TILT,A_AZ,A_CAP,A_VINT,P0_cell,P0_primary_TH
4,NREL x-Si -1,39.7406,-105.1774,1.0,17.9342,113978017.0,2608.75,15,BSk,T2,H1,ground,fixed,high,south,residential,pre-2010,T2|H1|ground|fixed|high|south|residential|pre-2010,T2:H1
10,NREL CIS -1,39.7404,-105.1774,1.12,19.5643,113103574.0,2588.74,14,BSk,T2,H1,ground,fixed,high,south,residential,pre-2010,T2|H1|ground|fixed|high|south|residential|pre-2010,T2:H1
33,Silicor Materials,39.7404,-105.1772,2.4,15.3917,113673602.0,2601.78,15,BSk,T2,H1,ground,fixed,high,south,residential,2010-2014,T2|H1|ground|fixed|high|south|residential|2010-2014,T2:H1
34,Andre Agassi Preparatory Academy - Building A,36.1952,-115.1582,146.64,9.9315,5101891.0,116.77,15,Bwh,T8,H2,roof,fixed,low,south,commercial,2010-2014,T8|H2|roof|fixed|low|south|commercial|2010-2014,T8:H2
35,Andre Agassi Preparatory Academy - Gymnasium,36.1952,-115.1582,121.68,9.9315,5038625.0,115.32,15,Bwh,T8,H2,roof,fixed,UNKNOWN,west,commercial,2010-2014,T8|H2|roof|fixed|UNKNOWN|west|commercial|2010-2014,T8:H2
50,NREL x-Si 6,39.742,-105.1727,6.0,31.2301,134519416.0,3078.91,23,BSk,T2,H1,ground,fixed,high,south,residential,pre-2010,T2|H1|ground|fixed|high|south|residential|pre-2010,T2:H1
51,NREL x-Si 7,39.7416,-105.1734,6.0,31.2301,91878523.0,2102.93,23,BSk,T2,H1,ground,fixed,high,south,residential,pre-2010,T2|H1|ground|fixed|high|south|residential|pre-2010,T2:H1
1199,Distributed Sun - Hunt Valley,39.4856,-76.6636,52.92,10.1753,17542288.0,401.51,37,Cfa,T7,H3,roof,fixed,mid,south,commercial,2010-2014,T7|H3|roof|fixed|mid|south|commercial|2010-2014,T7:H3
1200,Distributed Sun - BWI Hilton,39.1958,-76.6808,51.84,9.8191,6451844.0,147.67,39,Cfa,T7,H3,roof,fixed,low,south,commercial,2010-2014,T7|H3|roof|fixed|low|south|commercial|2010-2014,T7:H3
1201,Distributed Sun - 5 Executive Campus,39.9283,-75.0481,140.14,9.5095,12252366.0,280.43,13,Cfa,T6,H3,roof,fixed,low,west,commercial,2010-2014,T6|H3|roof|fixed|low|west|commercial|2010-2014,T6:H3
1202,Distributed Sun - 6 Executive Campus,39.9292,-75.0472,51.84,9.5808,12784247.0,292.61,40,Cfa,T6,H3,roof,fixed,low,west,commercial,2010-2014,T6|H3|roof|fixed|low|west|commercial|2010-2014,T6:H3
1203,Distributed Sun - EJ DeSeta,39.7325,-75.5511,197.47,9.5232,30309046.0,693.72,23,Cfa,T6,H3,roof,fixed,mid,south,commercial,2010-2014,T6|H3|roof|fixed|mid|south|commercial|2010-2014,T6:H3
1208,NREL Visitors Parking,39.7407,-105.1694,2.7135081,18.1643,270354532.0,6187.92,17,BSk,T2,H1,UNKNOWN,fixed,low,south,residential,pre-2010,T2|H1|UNKNOWN|fixed|low|south|residential|pre-2010,T2:H1
1239,Univ. of Maine - Presque Isle,46.6704,-68.0178,20.16,8.8602,2463653.0,56.39,8,Dfb,T4,H2,roof,fixed,low,south,commercial,2010-2014,T4|H2|roof|fixed|low|south|commercial|2010-2014,T4:H2
1276,Andre Agassi Preparatory Academy - Building B,36.1952,-115.1582,68.48,8.9123,4574570.0,104.7,15,Bwh,T8,H2,roof,fixed,low,south,commercial,2010-2014,T8|H2|roof|fixed|low|south|commercial|2010-2014,T8:H2
1277,Andre Agassi Preparatory Academy - Building C,36.1952,-115.1582,40.56,8.9123,4515699.0,103.36,15,Bwh,T8,H2,roof,fixed,low,south,commercial,2010-2014,T8|H2|roof|fixed|low|south|commercial|2010-2014,T8:H2
1278,Andre Agassi Preparatory Academy - Building D,36.1952,-115.1582,171.36,8.9123,7830647.0,179.23,26,Bwh,T8,H2,roof,fixed,UNKNOWN,south,commercial,2010-2014,T8|H2|roof|fixed|UNKNOWN|south|commercial|2010-2014,T8:H2
1283,NREL Research Support Facility II,39.7409,-105.1711,408.24,27.2301,361900991.0,8283.26,25,BSk,T4,H1,roof,fixed,low,south,commercial,pre-2010,T4|H1|roof|fixed|low|south|commercial|pre-2010,T4:H1
1289,NREL CIGS-12,39.7405,-105.1774,1.82,7.6465,65712147.0,1504.03,18,Dfb,T2,H1,ground,fixed,high,south,residential,2010-2014,T2|H1|ground|fixed|high|south|residential|2010-2014,T2:H1
1332,NREL Parking Garage,39.7388,-105.1732,1153.488,11.115,304151409.0,6961.47,26,BSk,T4,H1,roof,fixed,mid,south,utility,2010-2014,T4|H1|roof|fixed|mid|south|utility|2010-2014,T4:H1
1332,NREL Parking Garage,39.7388,-105.1732,1153.488,11.115,304151409.0,6961.47,26,BSk,T4,H1,roof,fixed,high,south,utility,2010-2014,T4|H1|roof|fixed|high|south|utility|2010-2014,T4:H1
1367,[1367] City of Henderson-NV - Aquatic Complex,36.033,-114.9516,277.16,7.0493,16702955.0,382.3,14,Bwh,T6,H2,UNKNOWN,fixed,low,south,commercial,2010-2014,T6|H2|UNKNOWN|fixed|low|south|commercial|2010-2014,T6:H2
1368,[1368] City of Henderson-NV - Heritage Park,36.033,-114.9516,,7.1589,6176360.0,141.37,39,Bwh,T6,H2,UNKNOWN,fixed,UNKNOWN,UNKNOWN,UNKNOWN,2010-2014,T6|H2|UNKNOWN|fixed|UNKNOWN|UNKNOWN|UNKNOWN|2010-2014,T6:H2
1369,[1369] City of Henderson-NV - Police Station,36.03,-114.9839,,7.189,4778028.0,109.36,51,Bwh,T6,H2,UNKNOWN,fixed,UNKNOWN,UNKNOWN,UNKNOWN,2010-2014,T6|H2|UNKNOWN|fixed|UNKNOWN|UNKNOWN|UNKNOWN|2010-2014,T6:H2
1430,[1430] NREL Mesa 1-axis,39.7438,-105.1779,720.72,15.2794,2579401.0,59.04,13,BSk,T2,H1,ground,tracking,low,south,commercial,pre-2010,T2|H1|ground|tracking|low|south|commercial|pre-2010,T2:H1
1433,[1433] NREL RSF1,39.7404,-105.1719,449.28,13.3589,2118543.0,48.49,10,BSk,T4,H1,roof,fixed,low,south,commercial,2010-2014,T4|H1|roof|fixed|low|south|commercial|2010-2014,T4:H1
2107,Farm Solar Array,38.996306,-122.134111,893.0,7.9178,89369541.0,2045.51,125,Csa,T3,H3,ground,fixed,mid,south,commercial,2015-2019,T3|H3|ground|fixed|mid|south|commercial|2015-2019,T3:H3
9068,SR_CO,40.3864,-104.5512,4738.0,7.6904,329699672.0,7546.23,438,Bsk,T2,H1,ground,tracking,low,south,utility,2015-2019,T2|H1|ground|tracking|low|south|utility|2015-2019,T2:H1
9069,Simon Solar Farm,33.6762,-83.676,33000.0,7.7863,1758480382.0,40248.42,5119,Cfa,T5,H3,ground,fixed,mid,south,utility,2015-2019,T5|H3|ground|fixed|mid|south|utility|2015-2019,T5:H3
10000,Pvoutput.org Erics System,44.914573,-93.162525,5.85,13.9369,1585395.0,36.29,2,Dfa,T3,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T3:H3
10001,Pvoutput.org Bartfamily PV Array,39.483937,-76.301594,3.36,11.9479,1274810.0,29.18,2,Cfa,T4,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T4|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T4:H3
10003,Pvoutput.org Bills 2 axis tracking,40.346434,-76.423645,11.04,13.7534,1119026.0,25.61,2,Cfa,T4,H3,UNKNOWN,fixed,high,south,residential,2010-2014,T4|H3|UNKNOWN|fixed|high|south|residential|2010-2014,T4:H3
10005,Pvoutput.org Lee Morehead Denton TX,33.198982,-97.150581,15.665,10.3534,1438588.0,32.93,2,Cfa,T5,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T5|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T5:H3
10006,Pvoutput.org Marlborough_6.9kW_Enphase,42.349708,-71.594007,6.9,6.1561,935968.0,21.42,2,Dfb,T3,H3,UNKNOWN,fixed,high,west,residential,2015-2019,T3|H3|UNKNOWN|fixed|high|west|residential|2015-2019,T3:H3
10010,Pvoutput.org Power from Above,45.136089,-88.010933,12.192,12.9452,1575288.0,36.06,2,Dfb,T3,H3,UNKNOWN,fixed,high,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|high|south|residential|2010-2014,T3:H3
10012,Pvoutput.org Stapp Solar,40.889911,-75.1112,7.524,12.9917,1409060.0,32.25,2,Dfa,T3,H3,UNKNOWN,fixed,low,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|low|south|residential|2010-2014,T3:H3
10013,Pvoutput.org Almaden Valley - San Jose,37.231378,-121.874925,4.56,12.0712,1498691.0,34.3,2,Csb,T5,H2,UNKNOWN,fixed,mid,south,residential,2010-2014,T5|H2|UNKNOWN|fixed|mid|south|residential|2010-2014,T5:H2
10014,Pvoutput.org Oakhurst,37.358162,-119.679978,6.0,13.0876,1614515.0,36.95,2,Csa,T5,H2,UNKNOWN,fixed,mid,south,residential,2010-2014,T5|H2|UNKNOWN|fixed|mid|south|residential|2010-2014,T5:H2
10017,Pvoutput.org Andrews 30 Sunpower 240s,40.006855,-75.802725,7.2,6.1589,828503.0,18.96,2,Cfa,T4,H3,UNKNOWN,fixed,mid,south,residential,2015-2019,T4|H3|UNKNOWN|fixed|mid|south|residential|2015-2019,T4:H3
10018,Pvoutput.org JPH Test,37.777208,-121.955399,5.04,12.9123,1483047.0,33.94,2,Csb,T3,H3,UNKNOWN,fixed,low,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|low|south|residential|2010-2014,T3:H3
10019,Pvoutput.org Golden rays,39.798127,-105.226237,7.82,13.1589,1598021.0,36.58,2,Dfb,T2,H1,UNKNOWN,fixed,low,south,residential,2010-2014,T2|H1|UNKNOWN|fixed|low|south|residential|2010-2014,T2:H1
10020,Pvoutput.org Schaffer,33.754828,-117.769851,6.525,13.1917,1807697.0,41.37,2,Csa,T4,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T4|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T4:H3
10021,Pvoutput.org Salt Lake City UT,40.706246,-111.85657,6.72,13.1589,1245425.0,28.51,2,Dfb,T4,H2,UNKNOWN,fixed,mid,south,residential,2010-2014,T4|H2|UNKNOWN|fixed|mid|south|residential|2010-2014,T4:H2
10022,Pvoutput.org Schaffer 2 (Auto Updates),33.739571,-117.78618,6.525,13.1424,1794854.0,41.08,2,Csa,T4,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T4|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T4:H3
10024,Pvoutput.org Austin SW,30.216108,-97.85828,7.7,13.052,1494239.0,34.2,2,Cfa,T5,H4,UNKNOWN,fixed,mid,south,residential,2010-2014,T5|H4|UNKNOWN|fixed|mid|south|residential|2010-2014,T5:H4
10025,Pvoutput.org Lockport NY,43.160857,-78.68756,17.625,11.9945,1371514.0,31.39,2,Dfb,T2,H3,UNKNOWN,fixed,high,south,residential,2010-2014,T2|H3|UNKNOWN|fixed|high|south|residential|2010-2014,T2:H3
10026,Pvoutput.org Howards System,40.543354,-74.3587,8.28,13.0219,1462524.0,33.47,2,Cfa,T4,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T4|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T4:H3
10027,Pvoutput.org Pattelbert-West,38.819863,-77.05854,4.7,13.0273,1453323.0,33.26,2,Cfa,T4,H3,UNKNOWN,fixed,high,east,residential,2010-2014,T4|H3|UNKNOWN|fixed|high|east|residential|2010-2014,T4:H3
10028,Pvoutput.org R & R in Hilo Hawaii,19.70932,-155.096467,3.84,13.0273,1377082.0,31.52,2,Cfb,T6,H3,UNKNOWN,fixed,low,west,residential,2010-2014,T6|H3|UNKNOWN|fixed|low|west|residential|2010-2014,T6:H3
10029,Pvoutput.org Chestnut Hill,40.206057,-75.66107,11.04,12.5808,1403437.0,32.12,2,Cfa,T4,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T4|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T4:H3
10030,Pvoutput.org North Reading MA,42.583436,-71.0982,4.6,9.8904,1052462.0,24.09,2,Dfb,T3,H3,UNKNOWN,fixed,mid,west,residential,2010-2014,T3|H3|UNKNOWN|fixed|mid|west|residential|2010-2014,T3:H3
10031,Pvoutput.org D & T System,39.440152,-84.22175,4.8,9.8849,1105771.0,25.31,2,Cfa,T4,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T4|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T4:H3
10032,Pvoutput.org Rees Residence,33.053092,-117.26855,3.24,13.0219,922723.0,21.12,2,Csa,T4,H3,UNKNOWN,fixed,low,west,residential,2010-2014,T4|H3|UNKNOWN|fixed|low|west|residential|2010-2014,T4:H3
10033,Pvoutput.org Solar Farm on the Home Barn,33.213309,-117.21474,4.41,11.1315,1284279.0,29.39,2,Csa,T4,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T4|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T4:H3
10034,Pvoutput.org DickThompson-MariettaNY_USA,42.907903,-76.301451,4.41,13.1041,1368522.0,31.32,2,Dfb,T3,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T3:H3
10035,Pvoutput.org La Honda Hilltop,37.34901,-122.262354,9.408,13.0136,1457168.0,33.35,2,Csb,T5,H2,UNKNOWN,fixed,mid,south,residential,2010-2014,T5|H2|UNKNOWN|fixed|mid|south|residential|2010-2014,T5:H2
10036,Pvoutput.org BioSolar 1720,39.317735,-84.24728,1.92,13.0109,1381714.0,31.62,2,Cfa,T4,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T4|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T4:H3
10037,Pvoutput.org Joes System,39.785785,-75.17761,6.58,9.0739,952941.0,21.81,2,Cfa,T4,H3,UNKNOWN,fixed,mid,south,residential,2015-2019,T4|H3|UNKNOWN|fixed|mid|south|residential|2015-2019,T4:H3
10038,Pvoutput.org AgateHunters PV System,44.985792,-92.96532,2.544,11.1123,1214103.0,27.79,2,Dfa,T3,H3,UNKNOWN,fixed,high,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|high|south|residential|2010-2014,T3:H3
10039,Pvoutput.org Wish I had a Southern Rear,35.755651,-78.77508,6.48,12.915,497519.0,11.39,2,Cfa,T4,H3,UNKNOWN,fixed,low,east,residential,2010-2014,T4|H3|UNKNOWN|fixed|low|east|residential|2010-2014,T4:H3
10040,Pvoutput.org MA Pond Side Array,42.457201,-71.37478,8.325,12.9616,1253596.0,28.69,2,Dfa,T3,H3,UNKNOWN,fixed,high,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|high|south|residential|2010-2014,T3:H3
10041,Pvoutput.org Solstice204,34.639682,-120.4471,4.08,12.9808,1365854.0,31.26,2,Csb,T4,H2,UNKNOWN,fixed,mid,west,residential,2010-2014,T4|H2|UNKNOWN|fixed|mid|west|residential|2010-2014,T4:H2
10042,Pvoutput.org g-crew george,40.411102,-74.23767,10.81,11.0876,1067220.0,24.43,2,Cfa,T3,H3,UNKNOWN,fixed,low,south,residential,2010-2014,T3|H3|UNKNOWN|fixed|low|south|residential|2010-2014,T3:H3
10043,Pvoutput.org Mishnish Sun Juice Co.,40.737132,-111.86044,5.5,12.9726,1436730.0,32.88,2,Dfb,T4,H2,UNKNOWN,fixed,low,west,residential,2010-2014,T4|H2|UNKNOWN|fixed|low|west|residential|2010-2014,T4:H2
10044,Pvoutput.org Pburg,38.588301,-88.03692,11.04,12.9534,1318030.0,30.17,2,Cfa,T4,H3,UNKNOWN,fixed,mid,south,residential,2010-2014,T4|H3|UNKNOWN|fixed|mid|south|residential|2010-2014,T4:H3
10045,Pvoutput.org thevansvilla,40.7143,-73.55527,7.41,12.9561,1319734.0,30.21,2,Cfa,T3,H3,UNKNOWN,fixed,mid,east,residential,2010-2014,T3|H3|UNKNOWN|fixed|mid|east|residential|2010-2014,T3:H3
