K_min_systems,n_consensus_days,rain_aligned_pct,lift_vs_baseline
1,2254,16.77018633540373,1.0950153313939777
2,1434,18.479776847977686,1.206643657056771
3,957,19.22675026123302,1.255417553977135
4,682,20.821114369501466,1.3595221302448743
5,503,22.067594433399602,1.440911493066915
6,382,22.25130890052356,1.4529071950869288
7,290,23.79310344827586,1.5535792230467047
8,222,25.225225225225223,1.6470901281027863
9,160,23.75,1.5507647679324894
10,120,23.333333333333332,1.5235583684950775
11,76,25.0,1.632383966244726
12,51,9.803921568627452,0.6401505749979317
13,42,4.761904761904762,0.3109302792847097
