a,b,jaccard,n_a,n_b
sys10040,sys11498,0.14027149321266968,108,144
sys10040,sys11501,0.13846153846153847,108,114
sys10040,sys11508,0.11428571428571428,108,126
sys10040,sys11576,0.11707317073170732,108,121
sys10040,sys11587,0.09090909090909091,108,132
sys10040,sys11612,0.09905660377358491,108,125
sys10040,sys11705,0.11650485436893204,108,122
sys10040,sys11802,0.08018867924528301,108,121
sys10040,sys11814,0.09049773755656108,108,133
sys10040,sys11879,0.1336206896551724,108,155
sys10040,sys11952,0.12021857923497267,108,97
sys10040,sys11967,0.0892018779342723,108,124
sys10040,sys11971,0.09829059829059829,108,149
sys10040,sys11987,0.08,108,108
sys10040,sys12062,0.09259259259259259,108,128
sys10040,sys12082,0.1076923076923077,108,108
sys10040,sys12087,0.1407035175879397,108,119
sys10040,sys12091,0.0797872340425532,108,95
sys11498,sys11501,0.12173913043478261,144,114
sys11498,sys11508,0.16883116883116883,144,126
sys11498,sys11576,0.18834080717488788,144,121
sys11498,sys11587,0.24324324324324326,144,132
sys11498,sys11612,0.21171171171171171,144,125
sys11498,sys11705,0.2372093023255814,144,122
sys11498,sys11802,0.22119815668202766,144,121
sys11498,sys11814,0.2311111111111111,144,133
sys11498,sys11879,0.16342412451361868,144,155
sys11498,sys11952,0.16990291262135923,144,97
sys11498,sys11967,0.28846153846153844,144,124
sys11498,sys11971,0.3627906976744186,144,149
sys11498,sys11987,0.14545454545454545,144,108
sys11498,sys12062,0.1724137931034483,144,128
sys11498,sys12082,0.14545454545454545,144,108
sys11498,sys12087,0.2175925925925926,144,119
sys11498,sys12091,0.07174887892376682,144,95
sys11501,sys11508,0.1650485436893204,114,126
sys11501,sys11576,0.1691542288557214,114,121
sys11501,sys11587,0.1388888888888889,114,132
sys11501,sys11612,0.1380952380952381,114,125
sys11501,sys11705,0.19796954314720813,114,122
sys11501,sys11802,0.0779816513761468,114,121
sys11501,sys11814,0.1650943396226415,114,133
sys11501,sys11879,0.16956521739130434,114,155
sys11501,sys11952,0.15934065934065933,114,97
sys11501,sys11967,0.1724137931034483,114,124
sys11501,sys11971,0.17410714285714285,114,149
sys11501,sys11987,0.08823529411764706,114,108
sys11501,sys12062,0.23469387755102042,114,128
sys11501,sys12082,0.18716577540106952,114,108
sys11501,sys12087,0.1708542713567839,114,119
sys11501,sys12091,0.11764705882352941,114,95
sys11508,sys11576,0.235,126,121
sys11508,sys11587,0.15178571428571427,126,132
sys11508,sys11612,0.19523809523809524,126,125
sys11508,sys11705,0.24623115577889448,126,122
sys11508,sys11802,0.14351851851851852,126,121
sys11508,sys11814,0.23333333333333334,126,133
sys11508,sys11879,0.09765625,126,155
sys11508,sys11952,0.1925133689839572,126,97
sys11508,sys11967,0.1574074074074074,126,124
sys11508,sys11971,0.23318385650224216,126,149
sys11508,sys11987,0.17587939698492464,126,108
sys11508,sys12062,0.2828282828282828,126,128
sys11508,sys12082,0.292817679558011,126,108
sys11508,sys12087,0.2760416666666667,126,119
sys11508,sys12091,0.14507772020725387,126,95
sys11576,sys11587,0.1822429906542056,121,132
sys11576,sys11612,0.3516483516483517,121,125
sys11576,sys11705,0.32065217391304346,121,122
sys11576,sys11802,0.2222222222222222,121,121
sys11576,sys11814,0.25742574257425743,121,133
sys11576,sys11879,0.13580246913580246,121,155
sys11576,sys11952,0.25287356321839083,121,97
sys11576,sys11967,0.1722488038277512,121,124
sys11576,sys11971,0.27358490566037735,121,149
sys11576,sys11987,0.26519337016574585,121,108
sys11576,sys12062,0.3315508021390374,121,128
sys11576,sys12082,0.21164021164021163,121,108
sys11576,sys12087,0.3333333333333333,121,119
sys11576,sys12091,0.16756756756756758,121,95
sys11587,sys11612,0.22380952380952382,132,125
sys11587,sys11705,0.22705314009661837,132,122
sys11587,sys11802,0.21634615384615385,132,121
sys11587,sys11814,0.24413145539906103,132,133
sys11587,sys11879,0.24782608695652175,132,155
sys11587,sys11952,0.145,132,97
sys11587,sys11967,0.21904761904761905,132,124
sys11587,sys11971,0.21645021645021645,132,149
sys11587,sys11987,0.15942028985507245,132,108
sys11587,sys12062,0.1872146118721461,132,128
sys11587,sys12082,0.15384615384615385,132,108
sys11587,sys12087,0.19523809523809524,132,119
sys11587,sys12091,0.14646464646464646,132,95
sys11612,sys11705,0.37988826815642457,125,122
sys11612,sys11802,0.24873096446700507,125,121
sys11612,sys11814,0.36507936507936506,125,133
sys11612,sys11879,0.18143459915611815,125,155
sys11612,sys11952,0.3136094674556213,125,97
sys11612,sys11967,0.22058823529411764,125,124
sys11612,sys11971,0.2863849765258216,125,149
sys11612,sys11987,0.2594594594594595,125,108
sys11612,sys12062,0.17674418604651163,125,128
sys11612,sys12082,0.3163841807909605,125,108
sys11612,sys12087,0.31891891891891894,125,119
sys11612,sys12091,0.2087912087912088,125,95
sys11705,sys11802,0.23979591836734693,122,121
sys11705,sys11814,0.3076923076923077,122,133
sys11705,sys11879,0.17372881355932204,122,155
sys11705,sys11952,0.32727272727272727,122,97
sys11705,sys11967,0.24242424242424243,122,124
sys11705,sys11971,0.355,122,149
sys11705,sys11987,0.1794871794871795,122,108
sys11705,sys12062,0.2315270935960591,122,128
sys11705,sys12082,0.3142857142857143,122,108
sys11705,sys12087,0.4011627906976744,122,119
sys11705,sys12091,0.16042780748663102,122,95
sys11802,sys11814,0.22115384615384615,121,133
sys11802,sys11879,0.2052401746724891,121,155
sys11802,sys11952,0.14736842105263157,121,97
sys11802,sys11967,0.23737373737373738,121,124
sys11802,sys11971,0.2980769230769231,121,149
sys11802,sys11987,0.17435897435897435,121,108
sys11802,sys12062,0.12669683257918551,121,128
sys11802,sys12082,0.15656565656565657,121,108
sys11802,sys12087,0.23076923076923078,121,119
