system,recovery_date
M1_C,2023-01-08
M1_C,2024-11-13
M1_C,2021-01-25
M1_C,2015-08-23
M1_C,2020-12-02
M1_C,2023-06-23
M1_C,2019-08-04
M1_C,2020-09-24
M1_C,2018-02-16
M1_C,2019-11-11
M1_C,2025-01-27
M1_C,2024-07-16
M1_C,2016-08-27
M1_C,2018-10-25
M1_C,2020-12-08
M1_C,2023-12-10
M1_C,2019-08-01
M1_C,2024-12-25
M1_C,2023-04-08
M1_C,2025-03-03
M1_C,2017-09-28
M1_C,2025-10-29
M1_C,2016-08-19
M1_C,2016-06-17
M1_C,2019-10-13
M1_C,2025-02-21
M1_C,2024-06-02
M1_C,2018-10-06
M1_C,2019-12-04
M1_C,2016-11-23
M1_C,2018-09-17
M1_C,2016-04-30
M1_C,2016-08-25
M1_C,2022-10-13
M1_C,2018-11-04
M1_C,2022-09-28
M1_C,2016-11-11
M1_C,2024-05-05
M1_C,2020-07-19
M1_C,2024-09-10
M1_C,2014-04-02
M1_C,2021-10-08
M1_C,2025-01-23
M1_C,2024-04-27
M1_C,2016-09-18
M1_C,2024-04-04
M1_C,2025-01-26
M1_C,2014-02-04
M1_C,2021-02-16
M1_C,2016-10-28
M1_C,2015-03-22
M1_C,2021-09-22
M1_C,2021-10-28
M1_C,2018-09-23
M1_C,2021-12-30
M1_C,2015-06-13
M1_C,2023-10-15
M1_C,2013-11-16
M1_C,2015-12-20
M1_C,2021-08-16
M1_C,2019-11-04
M1_C,2023-03-23
M1_C,2013-11-18
M1_C,2023-10-14
M1_C,2024-01-16
M1_C,2024-02-22
M1_C,2024-11-16
M1_C,2024-06-13
M1_C,2021-09-16
M1_C,2023-11-21
M1_C,2024-04-08
M1_C,2014-09-27
M1_C,2022-11-10
M1_C,2017-10-24
M1_C,2024-02-10
M1_C,2017-07-06
M1_C,2017-01-29
M1_C,2022-10-28
M1_C,2020-07-20
M1_C,2018-11-08
M1_C,2016-10-24
M1_C,2022-10-10
M1_C,2024-04-26
M1_C,2024-12-28
M1_C,2013-09-27
M1_C,2013-10-23
M1_C,2013-11-17
M1_C,2025-09-02
M1_C,2024-08-30
M1_C,2024-09-06
M1_C,2016-02-09
M1_C,2020-11-09
M1_C,2013-06-12
M1_C,2018-09-30
M1_C,2018-01-18
M1_C,2018-10-28
M1_C,2025-03-20
M1_C,2025-10-07
M1_C,2022-08-30
M1_C,2015-12-11
M1_C,2025-04-14
M1_C,2017-02-03
M1_C,2016-06-10
M1_C,2023-06-20
M1_C,2014-01-11
M1_C,2020-01-18
M1_C,2017-06-28
M1_C,2021-03-07
M1_C,2016-06-18
M1_C,2024-01-01
M1_C,2023-09-27
M1_C,2015-12-17
M1_C,2013-10-16
M1_C,2016-07-04
M1_C,2014-04-11
M1_C,2022-06-23
M1_C,2013-07-03
M1_C,2022-04-27
M1_C,2020-01-14
M1_C,2024-02-13
M1_C,2025-11-06
M1_C,2016-08-26
M1_C,2019-09-20
M1_C,2024-07-13
M1_C,2022-05-26
M1_C,2016-05-02
M1_C,2024-10-12
M1_C,2021-10-19
M1_C,2017-12-19
M1_C,2019-05-22
M1_C,2020-10-03
M1_C,2019-06-13
M1_C,2016-09-19
M1_C,2016-06-24
M1_C,2018-04-18
M1_C,2024-12-16
M1_C,2022-11-04
M1_C,2025-05-21
M1_C,2014-01-12
M1_C,2019-05-25
M1_C,2016-06-23
M1_C,2025-01-16
M1_C,2017-12-24
M1_C,2024-04-03
M1_C,2025-11-17
M1_C,2015-12-13
M1_C,2016-09-12
M1_C,2023-11-13
M1_C,2020-08-05
M1_C,2024-12-18
M1_C,2017-01-20
M1_C,2024-07-10
M1_C,2022-09-22
M1_C,2019-06-10
M1_C,2025-07-04
M1_C,2016-05-03
M1_C,2023-10-17
M1_C,2019-09-28
M1_C,2025-01-31
M1_C,2016-07-28
M1_C,2025-03-24
M1_C,2024-05-11
M1_C,2016-09-16
M1_C,2015-11-28
M1_C,2024-09-03
M1_C,2025-07-19
M1_C,2025-10-01
M1_C,2016-11-30
M1_C,2014-07-28
M1_C,2024-06-01
M1_C,2023-11-04
M1_C,2019-09-12
M1_C,2024-03-19
M1_C,2013-11-19
M1_C,2017-10-05
M1_C,2019-12-28
M1_C,2024-01-10
M1_C,2013-07-09
M1_C,2014-09-04
M1_C,2021-01-26
M1_C,2025-02-10
M1_C,2018-08-24
M1_C,2019-05-05
M1_C,2025-02-03
M1_C,2022-12-24
M1_C,2017-09-26
M1_C,2017-10-07
M1_C,2016-03-02
M1_C,2025-03-01
M1_C,2023-06-21
M1_C,2017-11-12
M1_C,2024-09-27
M1_C,2025-03-17
M1_C,2018-12-07
M1_C,2013-06-28
M1_C,2014-04-09
M1_C,2016-11-08
M1_C,2023-08-30
M1_C,2025-05-11
M1_C,2013-08-19
M1_C,2024-02-14
M1_C,2013-07-04
M1_C,2024-06-22
M1_C,2025-05-31
M1_C,2023-06-24
M1_C,2025-07-10
M1_C,2017-12-20
M1_C,2024-01-11
M1_C,2024-07-28
M1_C,2023-06-26
M1_C,2025-07-21
M1_C,2023-04-26
M1_C,2016-05-29
M1_C,2025-02-12
M1_C,2022-12-14
M1_C,2016-03-31
M1_C,2016-12-03
M1_C,2023-06-22
M1_C,2025-12-23
M1_C,2019-10-16
M1_C,2026-02-19
M1_C,2015-09-18
M1_C,2013-08-20
M1_C,2016-03-06
M1_C,2022-12-10
M1_C,2016-09-01
M1_C,2025-10-22
M1_C,2014-09-14
M1_C,2024-03-14
M1_C,2016-12-04
M1_C,2024-02-25
